num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,status_type_link,status_type_photo,status_type_status,status_type_video
14,0,1,12,4,1,0,0,0,0.0,1.0,0.0,0.0
36,7,2,29,17,1,2,0,0,0.0,0.0,0.0,1.0
19,2,2,15,9,1,0,0,0,0.0,0.0,0.0,1.0
30,1,1,23,15,1,2,0,0,0.0,0.0,0.0,1.0
50,4,2,38,30,0,2,0,3,0.0,0.0,0.0,1.0
48,5,3,37,27,0,4,0,0,0.0,0.0,0.0,1.0
58,0,0,50,10,6,0,0,0,0.0,1.0,0.0,0.0
79,11,3,64,28,1,2,4,13,0.0,0.0,0.0,1.0
94,0,0,80,21,4,0,0,0,0.0,1.0,0.0,0.0
27,1,1,22,12,0,0,0,3,0.0,0.0,0.0,1.0
39,6,4,31,17,0,6,0,3,0.0,0.0,0.0,1.0
66,11,3,49,38,3,15,12,0,0.0,0.0,0.0,1.0
16,0,0,14,2,0,0,0,0,0.0,1.0,0.0,0.0
25,2,2,20,15,0,0,0,0,0.0,0.0,0.0,1.0
21,1,1,18,5,0,0,0,0,0.0,1.0,0.0,0.0
51,6,10,37,40,1,2,0,3,0.0,0.0,0.0,1.0
35,3,4,28,14,3,0,4,0,0.0,0.0,0.0,1.0
43,8,4,33,27,1,0,0,0,0.0,0.0,0.0,1.0
45,7,4,36,23,0,0,0,0,0.0,0.0,0.0,1.0
31,3,1,26,9,0,4,0,0,0.0,0.0,0.0,1.0
21,2,1,16,12,0,0,0,0,0.0,0.0,0.0,1.0
59,7,3,49,18,4,2,4,0,0.0,0.0,0.0,1.0
56,0,0,47,13,6,0,0,0,0.0,1.0,0.0,0.0
38,5,3,29,23,1,0,0,0,0.0,0.0,0.0,1.0
110,1,0,92,24,10,0,0,0,0.0,1.0,0.0,0.0
61,6,3,49,30,0,0,0,0,0.0,0.0,0.0,1.0
14,0,0,12,1,0,0,0,0,0.0,1.0,0.0,0.0
24,0,0,20,7,0,0,0,0,0.0,1.0,0.0,0.0
44,6,4,35,20,1,4,0,0,0.0,0.0,0.0,1.0
77,11,8,58,51,0,0,4,0,0.0,0.0,0.0,1.0
39,3,4,31,21,0,0,0,0,0.0,0.0,0.0,1.0
46,6,3,38,15,0,0,0,3,0.0,0.0,0.0,1.0
12,0,0,11,1,0,0,0,0,0.0,0.0,0.0,1.0
58,6,4,43,40,1,2,0,0,0.0,0.0,0.0,1.0
53,6,3,40,30,4,4,0,6,0.0,0.0,0.0,1.0
28,2,4,21,18,1,0,0,3,0.0,0.0,0.0,1.0
48,8,4,37,27,0,0,0,0,0.0,0.0,0.0,1.0
7,0,0,7,0,0,0,0,0,0.0,0.0,0.0,1.0
46,8,3,32,42,4,0,0,0,0.0,0.0,0.0,1.0
20,0,0,18,0,0,0,0,0,0.0,0.0,0.0,1.0
55,9,4,45,23,0,0,0,0,0.0,0.0,0.0,1.0
13,0,0,12,0,0,0,0,0,0.0,0.0,0.0,1.0
27,2,2,22,12,0,0,0,0,0.0,0.0,0.0,1.0
32,2,1,26,14,0,0,0,0,0.0,0.0,0.0,1.0
28,4,4,22,16,0,0,0,0,0.0,0.0,0.0,1.0
83,11,4,69,29,0,0,0,0,0.0,0.0,0.0,1.0
66,13,4,54,24,0,0,0,0,0.0,0.0,0.0,1.0
3,0,0,2,2,0,0,0,0,0.0,1.0,0.0,0.0
62,0,0,53,14,4,0,0,0,0.0,1.0,0.0,0.0
50,0,0,43,7,1,2,0,0,0.0,1.0,0.0,0.0
66,0,0,56,16,4,0,0,0,0.0,1.0,0.0,0.0
5,0,0,5,0,0,0,0,0,0.0,1.0,0.0,0.0
3,0,0,3,1,0,0,0,0,1.0,0.0,0.0,0.0
7,0,0,6,1,0,0,0,0,0.0,1.0,0.0,0.0
143,0,0,123,26,1,0,0,0,0.0,1.0,0.0,0.0
156,0,0,133,28,13,0,0,0,0.0,1.0,0.0,0.0
121,0,0,106,15,3,0,0,0,0.0,1.0,0.0,0.0
5,0,0,4,3,0,0,0,0,0.0,1.0,0.0,0.0
56,1,0,48,10,7,0,0,0,0.0,1.0,0.0,0.0
80,12,3,66,25,3,0,0,3,0.0,0.0,0.0,1.0
89,17,3,71,41,3,0,4,0,0.0,0.0,0.0,1.0
317,47,66,255,127,13,6,31,3,0.0,0.0,0.0,1.0
16,0,0,15,0,0,0,0,0,0.0,1.0,0.0,0.0
8,0,0,6,2,0,0,0,0,0.0,1.0,0.0,0.0
4,0,0,3,0,0,2,0,0,0.0,1.0,0.0,0.0
6,0,0,5,0,0,0,0,0,0.0,1.0,0.0,0.0
25,0,5,21,8,0,0,0,0,0.0,1.0,0.0,0.0
31,0,0,28,1,0,0,0,0,0.0,1.0,0.0,0.0
35,0,1,29,6,0,0,31,0,0.0,1.0,0.0,0.0
40,0,3,33,0,0,0,75,0,0.0,1.0,0.0,0.0
46,0,0,41,4,0,0,0,0,0.0,1.0,0.0,0.0
97,0,0,86,3,6,0,0,0,0.0,1.0,0.0,0.0
117,0,0,103,11,4,0,0,0,0.0,1.0,0.0,0.0
43,0,1,36,6,9,0,0,0,0.0,1.0,0.0,0.0
213,1,0,187,15,13,2,0,0,0.0,1.0,0.0,0.0
43,3,2,35,17,0,0,0,3,0.0,0.0,0.0,1.0
91,0,0,80,4,7,0,0,0,0.0,1.0,0.0,0.0
102,0,0,88,9,10,0,0,0,0.0,1.0,0.0,0.0
45,3,1,38,9,1,0,0,0,0.0,0.0,0.0,1.0
48,4,1,40,13,0,0,0,0,0.0,0.0,0.0,1.0
36,1,0,30,11,3,2,0,0,0.0,0.0,0.0,1.0
52,3,1,44,13,1,0,0,0,0.0,0.0,0.0,1.0
57,11,3,46,24,1,0,0,0,0.0,0.0,0.0,1.0
55,12,3,45,21,0,0,0,0,0.0,0.0,0.0,1.0
23,0,0,20,5,0,0,0,0,0.0,1.0,0.0,0.0
21,0,0,18,0,1,0,0,0,0.0,1.0,0.0,0.0
59,5,2,49,22,3,0,0,0,0.0,0.0,0.0,1.0
69,2,2,56,27,1,2,0,0,0.0,0.0,0.0,1.0
11,0,0,10,0,0,0,0,0,0.0,1.0,0.0,0.0
59,20,4,46,32,1,2,0,0,0.0,0.0,0.0,1.0
146,0,0,121,31,0,0,86,0,0.0,0.0,0.0,1.0
77,19,4,61,36,1,6,0,6,0.0,0.0,0.0,1.0
63,0,0,56,0,0,0,0,0,0.0,1.0,0.0,0.0
6,0,0,5,1,0,0,0,0,0.0,1.0,0.0,0.0
3,0,0,3,0,0,0,0,0,0.0,1.0,0.0,0.0
3,0,0,3,0,0,0,0,0,0.0,1.0,0.0,0.0
6,0,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0
6,0,0,5,0,0,0,0,0,0.0,0.0,0.0,1.0
2,0,0,2,0,0,0,0,0,0.0,1.0,0.0,0.0
2,0,0,2,0,0,0,0,0,0.0,1.0,0.0,0.0
8,0,0,7,0,0,0,0,0,0.0,1.0,0.0,0.0
10,0,0,9,2,0,0,0,0,0.0,1.0,0.0,0.0
48,11,3,36,23,1,2,39,0,0.0,0.0,0.0,1.0
22,1,1,17,11,0,0,4,0,0.0,0.0,0.0,1.0
53,0,0,47,6,0,0,0,0,0.0,1.0,0.0,0.0
52,14,4,41,26,1,2,0,0,0.0,0.0,0.0,1.0
54,13,4,39,41,1,2,0,3,0.0,0.0,0.0,1.0
26,0,0,22,4,3,2,0,0,0.0,0.0,0.0,1.0
68,0,0,59,10,3,2,0,0,0.0,1.0,0.0,0.0
22,0,0,19,4,0,0,0,0,0.0,1.0,0.0,0.0
29,1,1,23,13,0,0,0,0,0.0,0.0,0.0,1.0
72,6,2,57,32,1,2,0,0,0.0,0.0,0.0,1.0
138,0,0,120,16,4,0,0,0,0.0,1.0,0.0,0.0
37,4,1,30,16,0,0,0,0,0.0,0.0,0.0,1.0
72,10,3,57,35,1,8,0,0,0.0,0.0,0.0,1.0
72,0,0,63,7,3,0,0,0,0.0,1.0,0.0,0.0
38,3,2,29,25,0,0,0,0,0.0,0.0,0.0,1.0
43,0,0,37,4,3,0,0,0,0.0,1.0,0.0,0.0
9,0,0,8,2,0,0,0,0,0.0,1.0,0.0,0.0
8,0,0,7,1,0,0,0,0,0.0,1.0,0.0,0.0
12,0,0,11,1,0,0,0,0,0.0,1.0,0.0,0.0
86,13,4,69,33,1,6,0,0,0.0,0.0,0.0,1.0
31,0,0,28,4,0,0,0,0,0.0,1.0,0.0,0.0
32,1,0,28,5,0,0,0,0,0.0,1.0,0.0,0.0
11,0,0,10,0,0,0,0,0,0.0,1.0,0.0,0.0
31,0,1,27,4,0,0,0,0,0.0,0.0,1.0,0.0
63,12,4,50,31,3,0,0,0,0.0,0.0,0.0,1.0
36,0,0,32,5,0,0,0,0,0.0,1.0,0.0,0.0
936,15,23,825,67,24,10,0,0,0.0,1.0,0.0,0.0
79,14,4,62,43,0,0,0,0,0.0,0.0,0.0,1.0
38,0,0,34,1,0,0,0,0,0.0,1.0,0.0,0.0
57,0,0,48,7,14,0,0,0,0.0,1.0,0.0,0.0
13,0,0,11,1,0,0,0,0,0.0,1.0,0.0,0.0
21,1,0,18,2,1,0,0,0,0.0,1.0,0.0,0.0
6,0,0,5,0,0,0,0,0,0.0,0.0,0.0,1.0
54,0,0,47,10,0,0,0,0,0.0,1.0,0.0,0.0
37,0,0,32,5,3,0,0,0,0.0,1.0,0.0,0.0
14,0,0,11,5,0,0,0,0,0.0,1.0,0.0,0.0
13,0,0,11,4,0,0,0,0,0.0,1.0,0.0,0.0
41,10,4,32,20,1,2,0,0,0.0,0.0,0.0,1.0
23,0,1,21,0,0,0,0,0,0.0,1.0,0.0,0.0
25,0,1,22,2,0,0,0,0,0.0,1.0,0.0,0.0
9,0,0,8,0,1,0,0,0,0.0,1.0,0.0,0.0
50,8,3,34,47,3,0,4,3,0.0,0.0,0.0,1.0
11,0,0,10,1,0,0,0,0,0.0,1.0,0.0,0.0
17,0,0,15,1,0,0,4,0,0.0,1.0,0.0,0.0
4,0,0,3,0,0,0,0,0,0.0,1.0,0.0,0.0
31,0,1,27,5,1,0,0,0,0.0,1.0,0.0,0.0
17,0,0,15,1,0,0,0,0,0.0,1.0,0.0,0.0
63,13,4,50,31,1,2,0,3,0.0,0.0,0.0,1.0
134,0,0,116,16,6,0,0,0,0.0,1.0,0.0,0.0
15,0,0,13,2,0,0,0,0,0.0,1.0,0.0,0.0
46,3,1,36,24,1,4,0,0,0.0,0.0,0.0,1.0
6,0,0,5,3,0,0,0,0,0.0,1.0,0.0,0.0
14,0,0,12,2,1,0,0,0,0.0,1.0,0.0,0.0
34,0,0,29,7,0,0,0,0,0.0,1.0,0.0,0.0
85,14,3,66,40,4,6,0,0,0.0,0.0,0.0,1.0
10,0,0,9,0,0,0,0,0,0.0,1.0,0.0,0.0
39,0,0,34,5,0,0,0,0,0.0,1.0,0.0,0.0
67,4,3,51,43,1,0,0,0,0.0,0.0,0.0,1.0
121,21,9,88,98,1,2,4,6,0.0,0.0,0.0,1.0
3,0,0,3,1,0,0,0,0,0.0,1.0,0.0,0.0
6,0,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0
12,0,0,11,0,0,0,0,0,0.0,1.0,0.0,0.0
16,0,0,14,0,0,0,0,0,0.0,1.0,0.0,0.0
78,22,4,61,46,1,0,0,0,0.0,0.0,0.0,1.0
4,0,0,4,0,0,0,0,0,0.0,1.0,0.0,0.0
37,0,0,33,0,1,0,0,0,0.0,1.0,0.0,0.0
28,0,0,25,0,0,0,0,0,0.0,1.0,0.0,0.0
34,0,0,30,3,1,0,0,0,0.0,1.0,0.0,0.0
156,24,6,115,106,16,11,0,0,0.0,0.0,0.0,1.0
9,0,1,8,1,0,0,0,0,0.0,0.0,1.0,0.0
7,0,0,6,2,0,0,0,0,0.0,0.0,1.0,0.0
6,0,0,6,0,0,0,0,0,0.0,0.0,0.0,1.0
9,0,0,8,1,0,0,0,0,0.0,1.0,0.0,0.0
3,0,0,2,1,0,0,0,0,0.0,1.0,0.0,0.0
101,14,4,78,58,6,4,0,0,0.0,0.0,0.0,1.0
11,0,0,9,1,0,0,0,0,0.0,1.0,0.0,0.0
20,1,1,18,0,0,0,0,0,0.0,1.0,0.0,0.0
64,1,0,56,10,1,0,0,0,0.0,0.0,0.0,1.0
36,0,0,32,1,0,0,0,0,0.0,1.0,0.0,0.0
53,0,0,46,6,0,0,0,0,0.0,1.0,0.0,0.0
90,0,0,78,7,4,2,0,0,0.0,1.0,0.0,0.0
40,0,0,35,2,0,6,0,0,0.0,1.0,0.0,0.0
83,0,0,73,5,4,0,0,0,0.0,1.0,0.0,0.0
131,1,0,114,13,10,0,0,0,0.0,1.0,0.0,0.0
41,0,0,36,2,1,0,0,0,0.0,1.0,0.0,0.0
68,33,6,53,40,1,2,0,0,0.0,0.0,0.0,1.0
77,0,0,66,14,3,0,0,0,0.0,1.0,0.0,0.0
11,0,0,10,0,0,0,0,0,0.0,1.0,0.0,0.0
60,12,3,47,31,0,2,0,0,0.0,0.0,0.0,1.0
78,0,0,69,6,0,0,0,0,0.0,1.0,0.0,0.0
29,0,1,25,4,1,0,0,0,0.0,1.0,0.0,0.0
20,0,0,18,1,3,0,0,0,0.0,1.0,0.0,0.0
39,0,0,35,1,1,0,0,0,0.0,1.0,0.0,0.0
103,0,0,88,13,17,0,0,0,0.0,1.0,0.0,0.0
60,0,0,49,18,4,4,0,0,0.0,0.0,0.0,1.0
81,0,0,70,12,4,0,0,0,0.0,1.0,0.0,0.0
46,0,0,40,5,0,0,0,0,0.0,1.0,0.0,0.0
10,0,0,9,2,1,0,0,0,0.0,1.0,0.0,0.0
188,11,2,126,201,0,4,0,0,0.0,0.0,0.0,1.0
39,0,0,33,9,0,0,0,0,0.0,1.0,0.0,0.0
55,0,0,48,6,0,2,0,0,0.0,1.0,0.0,0.0
63,0,0,56,7,0,0,0,0,0.0,1.0,0.0,0.0
42,0,0,36,12,0,0,0,0,0.0,1.0,0.0,0.0
152,1,0,130,27,10,0,0,0,0.0,1.0,0.0,0.0
33,0,0,29,5,0,0,0,0,0.0,1.0,0.0,0.0
62,0,0,54,10,0,0,0,0,0.0,1.0,0.0,0.0
52,0,0,45,5,1,0,0,0,0.0,1.0,0.0,0.0
56,0,0,49,2,7,0,0,0,0.0,1.0,0.0,0.0
66,0,0,57,6,9,0,0,0,0.0,1.0,0.0,0.0
44,0,0,38,6,0,0,0,0,0.0,1.0,0.0,0.0
46,0,0,40,5,1,0,0,0,0.0,1.0,0.0,0.0
52,0,0,45,8,1,0,0,0,0.0,1.0,0.0,0.0
32,0,0,28,5,1,0,0,0,0.0,1.0,0.0,0.0
82,0,0,70,15,1,0,0,0,0.0,1.0,0.0,0.0
38,0,0,32,5,0,0,0,0,0.0,1.0,0.0,0.0
46,0,0,41,5,1,0,0,0,0.0,1.0,0.0,0.0
57,0,0,49,9,4,0,0,0,0.0,1.0,0.0,0.0
75,0,0,66,5,0,0,0,0,0.0,1.0,0.0,0.0
49,0,0,43,7,0,0,0,0,0.0,1.0,0.0,0.0
54,0,0,47,4,6,0,0,0,0.0,1.0,0.0,0.0
26,0,0,22,7,0,0,0,0,0.0,1.0,0.0,0.0
44,0,0,38,8,1,0,0,0,0.0,1.0,0.0,0.0
65,0,0,56,9,0,0,0,0,0.0,1.0,0.0,0.0
15,0,0,13,1,0,0,0,0,0.0,1.0,0.0,0.0
62,0,0,53,12,1,2,0,0,0.0,1.0,0.0,0.0
14,0,0,13,0,1,0,0,0,0.0,1.0,0.0,0.0
166,0,0,144,27,1,0,0,0,0.0,1.0,0.0,0.0
16,0,0,15,1,0,0,0,0,0.0,1.0,0.0,0.0
5,0,0,4,0,0,0,0,0,0.0,0.0,0.0,1.0
22,0,0,19,2,1,0,0,0,0.0,1.0,0.0,0.0
7,0,0,6,0,0,0,0,0,0.0,0.0,0.0,1.0
51,0,0,44,7,0,0,8,0,0.0,1.0,0.0,0.0
24,0,0,21,1,0,0,0,0,0.0,1.0,0.0,0.0
11,0,0,10,0,0,0,0,0,0.0,0.0,0.0,1.0
7,0,0,6,0,0,0,0,0,0.0,0.0,0.0,1.0
3,0,0,3,0,0,0,0,0,1.0,0.0,0.0,0.0
16,0,0,14,0,0,0,0,0,0.0,0.0,0.0,1.0
38,0,0,33,2,3,0,0,0,0.0,1.0,0.0,0.0
110,0,0,96,12,3,0,0,0,0.0,1.0,0.0,0.0
28,0,0,25,2,0,0,0,0,0.0,1.0,0.0,0.0
48,0,0,42,6,1,0,0,0,0.0,1.0,0.0,0.0
106,6,1,78,70,7,11,4,3,0.0,0.0,0.0,1.0
35,0,0,30,6,0,0,0,0,0.0,1.0,0.0,0.0
58,6,2,44,40,0,0,0,0,0.0,0.0,0.0,1.0
27,0,0,24,2,0,0,0,0,0.0,1.0,0.0,0.0
6,0,0,6,0,1,0,0,0,0.0,1.0,0.0,0.0
7,0,0,6,0,0,0,0,0,1.0,0.0,0.0,0.0
54,0,0,46,8,6,0,0,0,0.0,1.0,0.0,0.0
61,0,0,55,0,1,0,0,0,0.0,1.0,0.0,0.0
56,0,0,49,5,3,0,0,0,0.0,1.0,0.0,0.0
32,0,0,28,3,1,0,0,0,0.0,1.0,0.0,0.0
13,0,0,11,3,1,0,0,0,0.0,1.0,0.0,0.0
37,0,1,31,5,3,2,0,0,0.0,0.0,0.0,1.0
131,12,2,88,114,30,15,0,3,0.0,0.0,0.0,1.0
40,0,0,35,4,0,0,0,0,0.0,1.0,0.0,0.0
126,7,2,92,90,1,8,16,3,0.0,0.0,0.0,1.0
40,0,0,35,5,3,0,0,0,0.0,1.0,0.0,0.0
38,0,0,33,3,0,0,0,0,0.0,1.0,0.0,0.0
68,0,0,60,4,1,0,0,0,0.0,1.0,0.0,0.0
77,0,0,67,6,4,0,0,0,0.0,1.0,0.0,0.0
10,0,0,9,0,0,0,0,0,0.0,1.0,0.0,0.0
53,0,0,47,3,1,0,0,0,0.0,1.0,0.0,0.0
110,0,0,97,10,0,0,0,0,0.0,1.0,0.0,0.0
21,0,0,18,3,0,0,0,0,0.0,1.0,0.0,0.0
85,0,0,75,5,3,0,0,0,0.0,1.0,0.0,0.0
46,0,0,41,5,0,0,0,0,0.0,1.0,0.0,0.0
16,0,0,15,0,0,0,0,0,0.0,1.0,0.0,0.0
43,0,0,38,3,4,0,0,0,0.0,1.0,0.0,0.0
86,0,0,76,5,0,0,0,0,0.0,1.0,0.0,0.0
45,0,0,39,5,0,0,0,0,0.0,1.0,0.0,0.0
45,0,0,40,5,1,0,0,0,0.0,1.0,0.0,0.0
79,0,0,69,6,10,0,0,0,0.0,1.0,0.0,0.0
97,0,0,85,9,4,0,0,0,0.0,1.0,0.0,0.0
46,0,0,39,7,3,0,0,0,0.0,1.0,0.0,0.0
1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
8,0,0,7,0,0,0,0,0,0.0,1.0,0.0,0.0
36,0,0,32,0,0,0,0,0,0.0,1.0,0.0,0.0
59,0,0,52,2,1,0,0,0,0.0,1.0,0.0,0.0
42,0,0,36,5,0,0,0,0,0.0,1.0,0.0,0.0
21,0,0,19,1,0,0,0,0,0.0,1.0,0.0,0.0
18,0,0,15,4,3,0,0,0,0.0,1.0,0.0,0.0
7,0,1,6,0,0,0,0,0,0.0,1.0,0.0,0.0
9,0,0,7,1,1,0,0,0,0.0,1.0,0.0,0.0
5,0,0,4,1,0,0,0,0,0.0,1.0,0.0,0.0
46,1,0,39,9,1,0,0,0,0.0,0.0,0.0,1.0
34,0,0,30,3,0,0,0,0,0.0,1.0,0.0,0.0
59,0,0,53,3,0,0,0,0,0.0,1.0,0.0,0.0
21,0,0,18,2,0,0,0,0,0.0,1.0,0.0,0.0
104,0,0,92,5,4,0,0,0,0.0,1.0,0.0,0.0
52,0,0,46,3,0,0,0,0,0.0,1.0,0.0,0.0
57,0,0,51,2,0,0,0,0,0.0,1.0,0.0,0.0
35,0,0,32,1,0,0,0,0,0.0,1.0,0.0,0.0
26,0,0,21,10,0,0,0,0,0.0,0.0,0.0,1.0
7,0,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0
15,0,0,14,0,0,0,0,0,0.0,1.0,0.0,0.0
37,0,0,33,1,0,0,0,0,0.0,1.0,0.0,0.0
41,0,0,36,3,4,0,0,0,0.0,1.0,0.0,0.0
61,1,0,48,27,7,2,0,0,0.0,0.0,0.0,1.0
49,0,0,44,0,1,0,0,0,0.0,1.0,0.0,0.0
29,0,0,26,2,1,0,0,0,0.0,1.0,0.0,0.0
22,0,0,19,2,0,0,0,0,0.0,1.0,0.0,0.0
19,0,0,17,0,1,0,0,0,0.0,1.0,0.0,0.0
145,1,0,126,11,19,0,0,0,0.0,1.0,0.0,0.0
293,18,6,216,214,6,8,8,13,0.0,0.0,0.0,1.0
134,0,0,117,15,3,2,0,0,0.0,1.0,0.0,0.0
12,0,0,11,0,0,0,0,0,0.0,0.0,0.0,1.0
58,0,0,51,2,3,0,0,0,0.0,1.0,0.0,0.0
45,0,0,40,5,0,0,0,0,0.0,1.0,0.0,0.0
48,0,0,42,5,0,0,0,0,0.0,1.0,0.0,0.0
98,1,0,86,7,6,2,0,0,0.0,1.0,0.0,0.0
61,0,0,53,7,1,0,0,0,0.0,1.0,0.0,0.0
112,0,0,98,11,3,0,0,0,0.0,1.0,0.0,0.0
89,0,0,78,8,4,0,0,0,0.0,1.0,0.0,0.0
109,0,0,96,8,0,2,0,0,0.0,1.0,0.0,0.0
80,0,0,70,9,3,0,0,0,0.0,1.0,0.0,0.0
252,1,0,222,17,9,0,0,0,0.0,1.0,0.0,0.0
125,13,4,95,77,4,8,4,3,0.0,0.0,0.0,1.0
90,0,0,79,12,0,0,0,0,0.0,1.0,0.0,0.0
25,0,0,20,0,0,0,31,19,0.0,1.0,0.0,0.0
14,0,0,13,1,0,0,0,0,0.0,1.0,0.0,0.0
93,0,0,81,14,0,0,0,0,0.0,1.0,0.0,0.0
221,3,2,188,53,1,0,0,0,0.0,0.0,1.0,0.0
146,0,0,127,19,3,0,0,0,0.0,1.0,0.0,0.0
18,0,0,16,0,0,0,0,0,0.0,0.0,1.0,0.0
104,0,0,91,10,3,0,0,0,0.0,1.0,0.0,0.0
13,0,0,12,0,3,0,0,0,0.0,1.0,0.0,0.0
10,0,0,9,0,0,0,0,0,1.0,0.0,0.0,0.0
68,0,0,59,8,1,2,0,0,0.0,1.0,0.0,0.0
11,0,1,10,0,0,0,0,0,0.0,0.0,0.0,1.0
18,0,0,16,2,0,0,0,0,0.0,1.0,0.0,0.0
21,0,0,19,1,0,0,0,0,0.0,1.0,0.0,0.0
45,0,0,41,1,0,0,0,0,0.0,1.0,0.0,0.0
33,0,0,29,2,0,0,0,0,0.0,1.0,0.0,0.0
43,3,0,35,16,0,4,4,0,0.0,0.0,0.0,1.0
52,0,0,46,3,3,0,0,0,0.0,1.0,0.0,0.0
48,0,0,42,5,0,0,0,0,0.0,1.0,0.0,0.0
54,10,3,36,57,1,4,0,0,0.0,0.0,0.0,1.0
31,0,0,27,2,3,0,0,0,0.0,1.0,0.0,0.0
45,0,0,39,5,0,2,0,0,0.0,1.0,0.0,0.0
49,0,0,43,4,0,0,0,0,0.0,1.0,0.0,0.0
14,0,0,12,1,1,0,0,0,0.0,1.0,0.0,0.0
34,0,0,30,1,0,0,0,0,0.0,1.0,0.0,0.0
64,0,0,55,5,9,0,4,0,0.0,1.0,0.0,0.0
19,0,0,17,1,0,0,0,0,0.0,0.0,0.0,1.0
31,1,0,24,16,6,0,0,0,0.0,0.0,0.0,1.0
85,0,0,75,4,6,0,0,0,0.0,1.0,0.0,0.0
19,0,0,16,3,0,0,0,0,0.0,1.0,0.0,0.0
32,0,0,28,3,3,0,0,0,0.0,1.0,0.0,0.0
33,0,0,29,2,0,2,0,0,0.0,1.0,0.0,0.0
23,0,0,20,5,0,0,0,0,0.0,0.0,0.0,1.0
25,0,0,20,10,3,0,0,0,0.0,0.0,0.0,1.0
24,0,0,19,10,0,0,0,0,0.0,0.0,0.0,1.0
28,0,0,24,5,6,0,0,0,0.0,1.0,0.0,0.0
32,0,0,27,5,3,0,0,0,0.0,1.0,0.0,0.0
58,0,0,50,10,3,2,0,0,0.0,1.0,0.0,0.0
41,2,0,31,27,0,6,0,0,0.0,0.0,0.0,1.0
29,1,0,24,10,3,0,0,0,0.0,0.0,0.0,1.0
133,6,1,99,96,3,0,4,0,0.0,0.0,0.0,1.0
61,1,0,53,6,4,0,0,0,0.0,1.0,0.0,0.0
44,0,0,39,4,1,0,0,0,0.0,1.0,0.0,0.0
34,2,1,28,15,0,2,0,0,0.0,0.0,0.0,1.0
56,0,0,49,5,0,0,0,0,0.0,1.0,0.0,0.0
64,0,0,56,5,1,0,0,0,0.0,1.0,0.0,0.0
45,0,0,40,4,0,0,0,0,0.0,1.0,0.0,0.0
45,0,0,39,4,0,0,0,0,0.0,1.0,0.0,0.0
87,0,0,75,8,9,0,0,0,0.0,1.0,0.0,0.0
47,0,0,41,6,1,0,0,0,0.0,1.0,0.0,0.0
